HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,30IQTZXKAK6IOU5MMZ9MQZTWVU60XV,Approved,Wed Nov 11 16:39:40 PST 2020,Wed Nov 11 17:05:48 PST 2020,Sat Nov 14 17:05:48 PST 2020,Wed Nov 11 22:21:43 PST 2020,,,1568,100% (1/1),100% (1/1),100% (1/1),88396,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,31Q0U3WYDPFOG4KD059OA5ZIYTX71A,Approved,Wed Nov 11 16:46:14 PST 2020,Wed Nov 11 16:54:17 PST 2020,Sat Nov 14 16:54:17 PST 2020,Wed Nov 11 22:21:44 PST 2020,,,483,100% (1/1),100% (1/1),100% (1/1),75778,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,326O153BMIY3HEFZ367PHHS89D5DET,Approved,Wed Nov 11 17:17:17 PST 2020,Wed Nov 11 17:24:19 PST 2020,Sat Nov 14 17:24:19 PST 2020,Wed Nov 11 22:21:44 PST 2020,,,422,100% (1/1),100% (1/1),100% (1/1),26493,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,32XVDSJFPZXEQS9WNFBRY66DLO7M2I,Approved,Wed Nov 11 17:21:08 PST 2020,Wed Nov 11 17:26:58 PST 2020,Sat Nov 14 17:26:58 PST 2020,Wed Nov 11 22:21:44 PST 2020,,,350,100% (1/1),100% (1/1),100% (1/1),66511,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,338JKRMM26ZH3H3P9XOTCJHFGQ0HAB,Approved,Wed Nov 11 17:08:05 PST 2020,Wed Nov 11 17:14:55 PST 2020,Sat Nov 14 17:14:55 PST 2020,Wed Nov 11 22:21:44 PST 2020,,,410,100% (1/1),100% (1/1),100% (1/1),21287,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,33F859I566DMMR8HFBOP7U1LY8LBH0,Approved,Wed Nov 11 17:01:45 PST 2020,Wed Nov 11 17:07:00 PST 2020,Sat Nov 14 17:07:00 PST 2020,Wed Nov 11 22:21:44 PST 2020,,,315,100% (1/1),100% (1/1),100% (1/1),17694,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,345LHZDEDXSMOIAO0HGI8QSZ4O8U3R,Approved,Wed Nov 11 16:39:43 PST 2020,Wed Nov 11 17:25:08 PST 2020,Sat Nov 14 17:25:08 PST 2020,Wed Nov 11 22:21:44 PST 2020,,,2725,100% (3/3),100% (2/2),100% (2/2),14468,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3483FV8BEEJC1PO40Z4A9A9RVOR62R,Approved,Wed Nov 11 16:39:39 PST 2020,Wed Nov 11 16:51:54 PST 2020,Sat Nov 14 16:51:54 PST 2020,Wed Nov 11 22:21:45 PST 2020,,,735,100% (2/2),100% (2/2),100% (2/2),89469,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,34QN5IT0TZRS9T4EERXUA0C34LY80W,Approved,Wed Nov 11 17:12:28 PST 2020,Wed Nov 11 17:53:17 PST 2020,Sat Nov 14 17:53:17 PST 2020,Wed Nov 11 22:21:45 PST 2020,,,2449,100% (1/1),100% (1/1),100% (1/1),30733,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3634BBTX0OUCV3VHQVS6QWTLDJXFIK,Approved,Wed Nov 11 18:25:25 PST 2020,Wed Nov 11 18:46:36 PST 2020,Sat Nov 14 18:46:36 PST 2020,Wed Nov 11 22:21:45 PST 2020,,,1271,100% (1/1),100% (1/1),100% (1/1),93514,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,373ERPL3YO8Z77G1B2R4LS9DROIRT2,Approved,Wed Nov 11 16:52:51 PST 2020,Wed Nov 11 17:00:42 PST 2020,Sat Nov 14 17:00:42 PST 2020,Wed Nov 11 22:21:45 PST 2020,,,471,100% (1/1),100% (1/1),100% (1/1),22026,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,39DD6S19JPB6KFKVVOWM89BBXVFEZT,Approved,Wed Nov 11 17:07:47 PST 2020,Wed Nov 11 17:15:46 PST 2020,Sat Nov 14 17:15:46 PST 2020,Wed Nov 11 22:21:45 PST 2020,,,479,100% (1/1),100% (1/1),100% (1/1),60181,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,39K0FND3AHF3VV400U464OPBXC1AMF,Approved,Wed Nov 11 17:50:08 PST 2020,Wed Nov 11 17:54:07 PST 2020,Sat Nov 14 17:54:07 PST 2020,Wed Nov 11 22:21:45 PST 2020,,,239,100% (1/1),100% (1/1),100% (1/1),68375,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,39KFRKBFINVSRGNFTGXZZEWNV3FYOO,Approved,Wed Nov 11 16:43:55 PST 2020,Wed Nov 11 18:19:42 PST 2020,Sat Nov 14 18:19:42 PST 2020,Wed Nov 11 22:21:45 PST 2020,,,5747,100% (1/1),100% (1/1),100% (1/1),16831,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,39KFRKBFINVSRGNFTGXZZEWNV3JOYI,Approved,Wed Nov 11 17:55:49 PST 2020,Wed Nov 11 18:05:22 PST 2020,Sat Nov 14 18:05:22 PST 2020,Wed Nov 11 22:21:45 PST 2020,,,573,100% (2/2),100% (1/1),100% (1/1),10110,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,39LOEL67OS5OQL3BXEFDCYAA7XJ38N,Approved,Wed Nov 11 17:23:03 PST 2020,Wed Nov 11 18:01:25 PST 2020,Sat Nov 14 18:01:25 PST 2020,Wed Nov 11 22:21:46 PST 2020,,,2302,100% (2/2),100% (2/2),100% (2/2),42823,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,39O5D9O87TSQ2OTOEQVIEK6TXO5C33,Approved,Wed Nov 11 17:45:10 PST 2020,Wed Nov 11 17:52:14 PST 2020,Sat Nov 14 17:52:14 PST 2020,Wed Nov 11 22:21:46 PST 2020,,,424,100% (1/1),100% (1/1),100% (1/1),45696,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,39RP059MEHT8E59S6842ZZ9HFUJMBJ,Approved,Wed Nov 11 16:51:41 PST 2020,Wed Nov 11 16:56:05 PST 2020,Sat Nov 14 16:56:05 PST 2020,Wed Nov 11 22:21:46 PST 2020,,,264,100% (1/1),100% (1/1),100% (1/1),13722,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,39RP059MEHT8E59S6842ZZ9HFUKBM9,Approved,Wed Nov 11 17:03:29 PST 2020,Wed Nov 11 17:51:08 PST 2020,Sat Nov 14 17:51:08 PST 2020,Wed Nov 11 22:21:46 PST 2020,,,2859,100% (2/2),100% (1/1),100% (1/1),75804,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3AMYWKA6YBMQ8WD9NX27GNCUWTP6OZ,Approved,Wed Nov 11 17:27:02 PST 2020,Wed Nov 11 18:06:11 PST 2020,Sat Nov 14 18:06:11 PST 2020,Wed Nov 11 22:21:46 PST 2020,,,2349,100% (1/1),100% (1/1),100% (1/1),14027,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3AUQQEL7U5TQK50RMK842EWBFJY0VS,Approved,Wed Nov 11 16:39:36 PST 2020,Wed Nov 11 17:05:52 PST 2020,Sat Nov 14 17:05:52 PST 2020,Wed Nov 11 22:21:46 PST 2020,,,1576,100% (1/1),100% (1/1),100% (1/1),90655,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3CP1TO84PT1GILOQVGU5H4VRZTG257,Approved,Wed Nov 11 16:49:53 PST 2020,Wed Nov 11 18:15:42 PST 2020,Sat Nov 14 18:15:42 PST 2020,Wed Nov 11 22:21:47 PST 2020,,,5149,100% (2/2),100% (2/2),100% (2/2),81176,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3D8YOU6S9EKLL1X6JJEGFT4JEFAU6X,Approved,Wed Nov 11 16:40:13 PST 2020,Wed Nov 11 17:55:37 PST 2020,Sat Nov 14 17:55:37 PST 2020,Wed Nov 11 22:21:47 PST 2020,,,4524,100% (2/2),100% (1/1),100% (1/1),44875,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3DL65MZB8DFTCM9L3ACEXBAQODSECT,Approved,Wed Nov 11 16:44:42 PST 2020,Wed Nov 11 16:57:25 PST 2020,Sat Nov 14 16:57:25 PST 2020,Wed Nov 11 22:21:47 PST 2020,,,763,100% (1/1),100% (1/1),100% (1/1),57479,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3DYGAII7PL813E8UH6TKBSYB6Z2PQ1,Approved,Wed Nov 11 18:57:41 PST 2020,Wed Nov 11 19:07:02 PST 2020,Sat Nov 14 19:07:02 PST 2020,Wed Nov 11 22:21:47 PST 2020,,,561,100% (1/1),100% (1/1),100% (1/1),88392,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3EG49X351UCD25R1OOP3Z03N8XSX6T,Approved,Wed Nov 11 17:03:21 PST 2020,Wed Nov 11 17:37:27 PST 2020,Sat Nov 14 17:37:27 PST 2020,Wed Nov 11 22:21:47 PST 2020,,,2046,100% (1/1),100% (1/1),100% (1/1),97445,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3F0BG9B9MPNL6AVGCUGXOSAS5E5Y7Y,Approved,Wed Nov 11 16:40:46 PST 2020,Wed Nov 11 16:44:09 PST 2020,Sat Nov 14 16:44:09 PST 2020,Wed Nov 11 22:21:47 PST 2020,,,203,100% (3/3),100% (1/1),100% (1/1),26473,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3FTF2T8WLRILVOO9CQWTHRGIPW1W9H,Approved,Wed Nov 11 18:53:17 PST 2020,Wed Nov 11 18:59:52 PST 2020,Sat Nov 14 18:59:52 PST 2020,Wed Nov 11 22:21:47 PST 2020,,,395,100% (1/1),100% (1/1),100% (1/1),36003,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3G2UL9A02DEJNQLA6BL551QZ64O76J,Approved,Wed Nov 11 19:32:00 PST 2020,Wed Nov 11 19:48:16 PST 2020,Sat Nov 14 19:48:16 PST 2020,Wed Nov 11 22:21:48 PST 2020,,,976,100% (1/1),100% (1/1),100% (1/1),82768,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3GD6L00D3SX717R04BBDTNW8TIU1MH,Approved,Wed Nov 11 17:30:01 PST 2020,Wed Nov 11 18:02:24 PST 2020,Sat Nov 14 18:02:24 PST 2020,Wed Nov 11 22:21:48 PST 2020,,,1943,100% (1/1),100% (1/1),100% (1/1),95153,,
3JGHED38EDRIJQXNMRBWZ8EWHY9Y7L,3S2GEPESO9CVYQRG1ITTHUI3YWBQU1,Answer A Survey About A Computer Science Course Website (10-15min),Review Course Material About A Computer Science Course and Provide Feedback,"survey, computer science",$1.20,Wed Nov 11 16:37:49 PST 2020,66,BatchId:4248203;OriginalHitTemplateId:920937340;,7200,259200,Mon Nov 16 16:37:49 PST 2020,,,3GGAI1SQEVYROA1YK80XAJFZXFJMCQ,Approved,Wed Nov 11 16:52:05 PST 2020,Wed Nov 11 17:14:08 PST 2020,Sat Nov 14 17:14:08 PST 2020,Wed Nov 11 22:21:48 PST 2020,,,1323,100% (1/1),100% (1/1),100% (1/1),99825,,
